,POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y,MORNING_HOURS,EVENING_HOURS
48,202,2020-01-18,1,C,0,0,2,1,0,2,5,11,5,7,2,3,2,8,3,5,4,5,4,2,2,3,1,2,79,QUATRE-VENTS,N12,Dondelange vers Quatre-Vents,Dondelange,Quatre-Vents,70927.0,82759.0,23,13
49,202,2020-01-18,2,C,0,1,0,2,0,3,3,6,5,6,4,8,6,7,3,2,5,6,5,3,3,2,1,2,83,QUATRE-VENTS,N12,Quatre-Vents vers Dondelange,Dondelange,Quatre-Vents,70927.0,82759.0,17,16
50,202,2020-01-18,3,C,0,1,2,3,0,5,8,17,10,13,6,11,8,15,6,7,9,11,9,5,5,5,2,4,162,QUATRE-VENTS,N12,Dondelange <-> Quatre-Vents deux sens ,Dondelange,Quatre-Vents,70927.0,82759.0,40,29
51,203,2020-01-18,1,C,1,1,0,2,0,2,3,9,6,3,3,6,6,3,4,6,9,7,6,3,4,2,2,2,90,QUATRE-VENTS,N12,Kopstal vers Quatre-Vents,Kopstal,Quatre-Vents,71158.0,82433.0,18,22
52,203,2020-01-18,2,C,1,0,1,0,0,2,4,12,3,2,3,1,0,3,3,4,2,3,4,2,1,3,2,1,57,QUATRE-VENTS,N12,Quatre-Vents vers Kopstal,Kopstal,Quatre-Vents,71158.0,82433.0,17,9
53,203,2020-01-18,3,C,2,1,1,2,0,4,7,21,9,5,6,7,6,6,7,10,11,10,10,5,5,5,4,3,147,QUATRE-VENTS,N12,Kopstal <-> Quatre-Vents deux sens ,Kopstal,Quatre-Vents,71158.0,82433.0,35,31
54,291,2020-01-18,1,C,1,1,1,1,1,0,1,2,2,2,4,2,2,3,2,2,2,2,3,2,3,3,2,2,46,Belvaux,CR191a,Belvaux vers Esch-Belval,Belvaux,Esch-Belval,63394.766,62919.67,6,7
55,291,2020-01-18,2,C,1,1,1,1,2,0,2,2,1,3,3,2,2,2,2,2,2,2,2,3,1,4,2,1,44,Belvaux,CR191a,Esch-Belval vers Belvaux,Belvaux,Esch-Belval,63394.766,62919.67,6,6
56,291,2020-01-18,3,C,2,2,2,2,3,0,3,4,3,5,7,4,4,5,4,4,4,4,5,5,4,7,4,3,90,Belvaux,CR191a,Belvaux <-> Esch-Belval deux sens ,Belvaux,Esch-Belval,63394.766,62919.67,12,13
57,304,2020-01-18,1,C,3,3,1,0,4,13,15,15,18,7,10,12,6,5,6,4,8,4,7,3,2,1,2,2,151,SPRINKANGE,N5,Schouweiler vers Dippach,Schouweiler,Dippach,65600.78,72448.55,40,19
58,304,2020-01-18,2,C,1,0,4,4,6,5,7,9,13,15,14,7,8,4,5,6,7,5,3,8,5,4,2,3,145,SPRINKANGE,N5,Dippach vers Schouweiler,Schouweiler,Dippach,65600.78,72448.55,37,15
59,304,2020-01-18,3,C,4,3,5,4,10,18,22,24,31,22,24,19,14,9,11,10,15,9,10,11,7,5,4,5,296,SPRINKANGE,N5,Schouweiler <-> Dippach deux sens ,Schouweiler,Dippach,65600.78,72448.55,77,34
60,326,2020-01-18,1,C,0,1,0,2,0,2,7,9,5,6,5,6,5,7,7,5,5,4,3,4,3,1,1,3,91,FRISANGE,N13,Aspelt vers Frisange,Aspelt,Frisange,82407.0,64695.0,20,12
61,326,2020-01-18,2,C,0,1,1,1,1,4,7,7,10,9,6,8,10,8,5,6,3,7,6,5,5,1,1,2,114,FRISANGE,N13,Frisange vers Aspelt,Aspelt,Frisange,82407.0,64695.0,26,16
